"stamp","pt_lat_err","pp_lat_err","c0_lat_err","c1_lat_err","c2_lat_err"
1672966648.1285377,0.7812387953825771,7.151947008094542,12.595515904564534,11.610936158392615,12.521666834177367,0.0
1672966648.1786296,0.09372067458168301,6.20157371609059,12.073968552680682,10.029179583521813,11.542281074186398,0.0
1672966648.228571,0.9682450380884192,7.206360996436268,13.066041894591148,9.74161625460238,9.68181107866751,0.0
1672966648.2785661,0.15667924112807477,6.327591874065158,11.245825227727131,11.404570392607592,9.424875904253877,0.0
1672966648.328676,0.7183574880845447,7.0014989637707625,10.0217581434131,12.58192336675763,13.551244254158377,0.0
1672966648.3784895,0.40653957374618555,6.676713362630475,11.630179060940332,11.401533050829855,12.265168907955825,0.0
1672966648.4284883,0.46835472088147184,6.862930933658882,9.097734010627835,11.710805722914365,12.759344756404364,0.0
1672966648.4785075,0.65647991250416,6.593075645660761,10.766446393295233,9.608801791252702,9.901256665490845,0.0
1672966648.5287373,0.21839677077200725,6.627632239023329,11.889622424450891,9.369387818161533,10.730027382624801,0.0
1672966648.5787015,0.9064974671889344,6.947656315781155,11.569754400063182,11.930049047536752,10.163811223727414,0.0
1672966648.6287682,0.032410638307140104,5.789229990233025,9.622342775756106,10.452365171722217,9.38213413515246,0.0
1672966648.6785073,0.8432261648016407,6.463911948715004,10.478275887487559,9.36087290229598,9.891601357876151,0.0
1672966648.7287672,0.28159133861130925,6.590194420360251,9.292858815599708,9.579949213094352,12.129574661204195,0.0
1672966648.7787063,0.5931930955657544,6.268244193067999,12.256563901073594,9.169747120703803,9.60372005617689,0.0
1672966648.828757,0.5315854977081836,7.065816353526764,10.018863508729352,12.902666366054959,9.675745877020479,0.0
1672966648.878763,0.3432346643553816,6.534571386522403,13.04608387413949,12.539990055178604,10.994105576688028,0.0
1672966648.9287589,0.7814838369599846,6.5458661284838335,12.76262433274551,9.529418887047285,10.651894587629638,0.0
1672966648.9787674,0.09299152948862818,6.5756410409586294,9.054071452560985,9.547920684874171,9.766903977334184,0.0
1672966649.028758,0.9666328917142719,6.82265626815404,10.388981342453679,12.974784393202151,13.293061157002967,0.0
1672966649.0785666,0.1603618449025705,6.445922143484445,11.684056798281604,11.695951520032905,10.695445336303358,0.0
1672966649.1285582,0.710437866290605,6.992839489257522,11.31415890928956,11.578101795339979,12.484140681038742,0.0
1672966649.178768,0.42066229076722184,6.684879242627799,11.410938756348532,12.819190114275663,10.073612171939704,0.0
