"stamp","ref_vel","pt_vel","pp_vel","c0_vel","c1_vel","c2_vel"
1672966648.542249,76.64112489891052,76.47570808106025,73.07084011606503,71.55863894438619,67.16034610586365,71.79124656407102
1672966648.5922606,76.640656974411,76.00548586623455,71.87145783310454,69.72907181999322,68.9832859417257,70.49767479184338
1672966648.6422453,76.64275246238708,76.54556757076777,73.55051701545645,71.92163244681623,72.63938117961852,72.38920995600446
1672966648.692261,76.64204040336608,76.48240839237273,73.97608560123298,72.44625000918072,71.67683246433356,70.4638840557588
1672966648.742243,76.64201497268677,76.56173548289229,73.32123556389698,72.66802972951363,68.70595866043506,69.12782854610606
1672966648.7924306,76.63948716316223,76.19752319545456,73.79100557166986,70.47214533986846,68.12334637955587,68.52831767356294
1672966648.8422456,76.64160808181762,76.11759847296851,73.93653260362962,71.9395619566375,67.94907122950539,67.86099639263084
1672966648.8924346,76.64105877914429,76.07651862672247,71.99470378192952,71.26129639623771,72.49891356793528,69.68730842859544
1672966648.9424355,76.63664909934997,76.62912451423134,73.33938360390705,72.18018858710617,70.56457783889661,68.57692401431518
1672966648.9922576,76.61886796836852,76.13800520188279,73.24615359769899,69.50918513709385,70.532833695783,70.01721576674784
1672966649.0422437,76.58933277740478,76.1881666419483,72.42294809829727,71.1272786892464,68.24487262869332,70.0232449995944
1672966649.0922465,76.54488503608704,75.91700075776644,71.8368339255379,72.09028055336563,70.49077495558838,68.49796149434111
1672966649.1422446,76.48609439163208,76.12285821354247,72.00503757510724,70.45671484944472,71.01040414576798,68.50326237496868
1672966649.1924274,76.41280825996398,76.3889722601404,73.97566099129548,71.157426202662,69.99763246086198,68.3393705853878
1672966649.2422597,76.32630326118469,75.73281609775256,72.53704154670619,72.22659984915404,66.65112186932144,69.27215052285825
1672966649.2922332,76.22855790214538,75.95737918516623,71.94293980573038,69.10633688832246,68.49178191470926,71.95477554117348
1672966649.3422284,76.14165618476868,75.61596480654872,72.47032390111899,71.67380307707506,69.98178830345034,71.04817345187212
1672966649.3922563,76.06266849479675,75.47158859469883,73.00765624625204,70.98928376906275,70.98717896675183,67.47090643634428
1672966649.4422457,75.98108178939819,75.36908975116759,71.51277075295184,71.85264841832883,67.37523591987406,67.96108694070735
1672966649.4922569,75.89495316467284,75.46918849452206,71.44873543635083,69.24454359009479,68.0550651374072,71.10809321305527
1672966649.5422447,75.80232445831298,75.36521013128485,71.71019815462125,68.96500952439396,67.48260845259168,71.1629278848466
1672966649.592255,75.70178172454834,75.56684699611252,73.47845232456145,70.2655178507531,68.60029376465303,66.95598741007485
1672966649.6422462,75.59517123069763,75.54698555214537,71.53975983735256,68.71487718672888,70.15630155592072,70.03356637647789
1672966649.6922548,75.47986344451904,74.94714024767505,71.87658263256026,68.89874858392994,68.45844412547066,67.85851131497118
1672966649.7422457,75.35886427230835,75.29112540145536,71.08334913749543,69.8870504177287,67.2846158253741,69.21313697066425
1672966649.7924376,75.23041899719237,74.76766505055188,72.9682775611874,71.13696457410803,69.62499526388098,68.95641989068342
1672966649.8422446,75.09570760269165,74.60122344484738,70.76866019266033,68.3243235369155,65.1908304508792,66.59933099520755
1672966649.8924387,74.95280752944946,74.80044851394062,70.34902335537612,68.63328755717671,65.16720206208286,68.99570737954986
1672966649.9422448,74.80305134506226,74.37628533217011,71.66850259103151,69.84562159372366,69.0753692096867,67.31004864028054
1672966649.9924324,74.64793437347411,74.24374283507578,71.60670101526655,69.16029590226366,67.38576664262173,68.05822191981875
1672966650.0422435,74.48696834564208,73.87533921144679,72.2451163802399,70.51142475474536,67.58651135389312,70.06654507244828
1672966650.092253,74.31870371284485,74.22785292436697,71.13987021999448,69.41336332034768,64.51436779139216,68.5588852335826
1672966650.142247,74.14456967926024,73.67852875869461,71.08036176214253,67.9581796261977,65.66134644480732,69.89773117154337
1672966650.1922572,73.9614637020111,73.55241214788757,70.69653708376727,68.8957821946006,65.62988726686817,67.25035223027413
1672966650.242244,73.77229505081176,73.51454800487078,71.35065659331492,70.0368537701154,65.3940150147981,68.54401308433044
1672966650.2922547,73.58410293769836,73.48634901677922,70.85782146755695,69.79000438427819,63.78811098988244,66.22092888970968
1672966650.3422434,73.40127161178589,73.07388705311983,69.98924136407805,69.37097344038499,65.13218174398334,67.14646348325772
1672966650.392436,73.22798696289063,73.14414776279263,68.72098529496071,68.91092908191581,67.35174502591288,67.39364114444851
1672966650.442246,73.06422864646912,72.44018739231105,68.33295832598526,67.53003778680751,65.77298055636578,68.99064070215489
1672966650.4922552,72.90902521057129,72.40733188331333,68.11733028850297,68.2471600810856,66.25465968104001,66.67134625008732
1672966650.542245,72.76437042045593,72.26955005913399,69.82115939845772,67.27138201902288,65.01696864326634,65.23156101611711
1672966650.592193,72.65591874542235,72.13726254310787,68.31362656098754,66.41715732246767,64.41567386531214,66.20784493854306
1672966650.6422286,72.50394500579834,71.9037621945477,69.35988716912033,67.05660690284179,64.0508054440295,67.20882108424962
1672966650.6922557,72.38453779411316,71.79243516966025,69.75759261773172,66.62894989492312,63.47843409882151,64.21241789224736
1672966650.742231,72.27757127075195,72.06816479221017,68.73484499612523,65.7066967196165,62.70259314546036,65.03917857386328
1672966650.7922945,72.1761893245697,72.01464887809836,68.05919332159024,66.6481280573214,66.34500643702847,67.6620406193118
1672966650.8423996,72.08233994560241,72.05009826913782,67.33936123315095,68.13238415436405,66.2924526252589,64.2069094270131
1672966650.8922412,71.9936326499939,71.3460967219699,67.09948398455332,66.43097425696321,66.64875932262397,63.611974286219265
1672966650.9422326,71.911196559906,71.82372119313281,69.51848503408854,66.97968704116691,66.26868699693408,66.88524664635705
1672966650.9922392,71.83420772132874,71.49882280621324,68.70913291122619,67.82232411839514,65.37503611427866,64.20467077250379
1672966651.0422382,71.76280854606628,71.49730067177585,66.92309200246099,66.65987144299412,64.90243270656663,63.05362612304245
1672966651.0922287,71.69527992019653,71.17306785844075,68.6020810735744,67.71626058298004,65.35880599451278,66.24879954450695
1672966651.1424782,71.6343073234558,71.11004877940351,68.77429189843454,66.13287788711622,62.798042477705216,66.44967986113234
1672966651.1924303,71.5726480983734,71.41029923923028,66.6798086629949,66.23030127185268,64.85233723830017,67.08855959832643
1672966651.2422445,71.51716344223023,71.0645100115509,66.61967349985858,65.41934421801503,61.78397566085602,66.67022056834415
1672966651.292247,71.46513735847473,70.95130165358837,66.82453788438285,66.41208950465337,62.3187894149321,62.74734219379036
