716.99,706.11
716.89,716.12
716.34,726.11
715.42,736.07
714.1,745.99
712.38,755.85
710.21,765.63
707.72,775.32
704.85,784.91
701.51,794.34
697.87,803.67
693.84,812.83
689.48,821.84
684.76,830.66
679.7,839.29
674.33,847.73
668.62,855.95
662.6,863.95
656.32,871.74
649.72,879.29
642.83,886.55
635.67,893.55
628.24,900.27
620.52,906.64
612.55,912.68
604.26,918.31
595.81,923.66
587.19,928.77
578.41,933.56
569.46,938.03
560.32,942.13
551.0,945.78
541.55,949.11
531.96,952.01
522.26,954.48
512.47,956.59
502.61,958.28
492.69,959.63
482.74,960.67
472.76,961.37
462.76,961.75
452.76,961.81
442.76,961.77
432.75,961.72
